Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2010","2010","ha","2227","I","Imputed value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2011","2011","ha","2339","I","Imputed value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2012","2012","ha","2650","E","Estimated value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2013","2013","ha","2555","I","Imputed value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2014","2014","ha","2574","I","Imputed value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2015","2015","ha","2662","I","Imputed value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2016","2016","ha","2597","E","Estimated value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2017","2017","ha","2615","I","Imputed value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2018","2018","ha","2624","E","Estimated value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2019","2019","ha","2612","E","Estimated value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2020","2020","ha","2617","E","Estimated value"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01211","Asparagus","2021","2021","ha","2618","E","Estimated value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2010","2010","ha","1787","I","Imputed value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2011","2011","ha","2072","A","Official figure"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2012","2012","ha","1893","I","Imputed value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2013","2013","ha","1667","I","Imputed value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2014","2014","ha","1645","I","Imputed value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2015","2015","ha","1635","I","Imputed value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2016","2016","ha","1678","I","Imputed value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2017","2017","ha","1689","I","Imputed value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2018","2018","ha","1642","I","Imputed value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2019","2019","ha","1590","I","Imputed value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2020","2020","ha","1640","E","Estimated value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01211","Asparagus","2021","2021","ha","1624","E","Estimated value"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2010","2010","ha","488","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2011","2011","ha","506","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2012","2012","ha","601","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2013","2013","ha","610","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2014","2014","ha","617","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2015","2015","ha","629","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2016","2016","ha","805","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2017","2017","ha","813","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2018","2018","ha","820","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2019","2019","ha","830","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2020","2020","ha","740","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01211","Asparagus","2021","2021","ha","750","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2010","2010","ha","1693","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2011","2011","ha","1614","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2012","2012","ha","1724","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2013","2013","ha","1771","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2014","2014","ha","1899","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2015","2015","ha","1970","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2016","2016","ha","2019","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2017","2017","ha","2029","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2018","2018","ha","2012","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2019","2019","ha","2159","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2020","2020","ha","1953","A","Official figure"
"QCL","Crops and livestock products","124","Canada","5312","Area harvested","01211","Asparagus","2021","2021","ha","2066","A","Official figure"
"QCL","Crops and livestock products","159","China","5312","Area harvested","01211","Asparagus","2010","2010","ha","1280576","E","Estimated value"
"QCL","Crops and livestock products","159","China","5312","Area harvested","01211","Asparagus","2011","2011","ha","1320585","E","Estimated value"
"QCL","Crops and livestock products","159","China","5312","Area harvested","01211","Asparagus","2012","2012","ha","1350614","E","Estimated value"
"QCL","Crops and livestock products","159","China","5312","Area harvested","01211","Asparagus","2013","2013","ha","1330608","E","Estimated value"
"QCL","Crops and livestock products","159","China","5312","Area harvested","01211","Asparagus","2014","2014","ha","1335684","E","Estimated value"
"QCL","Crops and livestock products","159","China","5312","Area harvested","01211","Asparagus","2015","2015","ha","1391167","E","Estimated value"
"QCL","Crops and livestock products","159","China","5312","Area harvested","01211","Asparagus","2016","2016","ha","1418718","E","Estimated value"
"QCL","Crops and livestock products","159","China","5312","Area harvested","01211","Asparagus","2017","2017","ha","1397084","E","Estimated value"
"QCL","Crops and livestock products","159","China","5312","Area harvested","01211","Asparagus","2018","2018","ha","1406806","E","Estimated value"
"QCL","Crops and livestock products","159","China","5312","Area harvested","01211","Asparagus","2019","2019","ha","1421933","E","Estimated value"
"QCL","Crops and livestock products","159","China","5312","Area harvested","01211","Asparagus","2020","2020","ha","1431536","E","Estimated value"
"QCL","Crops and livestock products","159","China","5312","Area harvested","01211","Asparagus","2021","2021","ha","1441009","E","Estimated value"
"QCL","Crops and livestock products","250","France","5312","Area harvested","01211","Asparagus","2010","2010","ha","4879","A","Official figure"
"QCL","Crops and livestock products","250","France","5312","Area harvested","01211","Asparagus","2011","2011","ha","4817","A","Official figure"
"QCL","Crops and livestock products","250","France","5312","Area harvested","01211","Asparagus","2012","2012","ha","4490","A","Official figure"
"QCL","Crops and livestock products","250","France","5312","Area harvested","01211","Asparagus","2013","2013","ha","4495","A","Official figure"
"QCL","Crops and livestock products","250","France","5312","Area harvested","01211","Asparagus","2014","2014","ha","4484","A","Official figure"
"QCL","Crops and livestock products","250","France","5312","Area harvested","01211","Asparagus","2015","2015","ha","4352","A","Official figure"
"QCL","Crops and livestock products","250","France","5312","Area harvested","01211","Asparagus","2016","2016","ha","4433","A","Official figure"
"QCL","Crops and livestock products","250","France","5312","Area harvested","01211","Asparagus","2017","2017","ha","4445","A","Official figure"
"QCL","Crops and livestock products","250","France","5312","Area harvested","01211","Asparagus","2018","2018","ha","4480","A","Official figure"
"QCL","Crops and livestock products","250","France","5312","Area harvested","01211","Asparagus","2019","2019","ha","4850","A","Official figure"
"QCL","Crops and livestock products","250","France","5312","Area harvested","01211","Asparagus","2020","2020","ha","4750","A","Official figure"
"QCL","Crops and livestock products","250","France","5312","Area harvested","01211","Asparagus","2021","2021","ha","6530","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01211","Asparagus","2010","2010","ha","18794","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01211","Asparagus","2011","2011","ha","18611","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01211","Asparagus","2012","2012","ha","19329","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01211","Asparagus","2013","2013","ha","19634","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01211","Asparagus","2014","2014","ha","20122","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01211","Asparagus","2015","2015","ha","20594","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01211","Asparagus","2016","2016","ha","22274","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01211","Asparagus","2017","2017","ha","23190","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01211","Asparagus","2018","2018","ha","23410","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01211","Asparagus","2019","2019","ha","22980","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01211","Asparagus","2020","2020","ha","22410","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01211","Asparagus","2021","2021","ha","22280","A","Official figure"
"QCL","Crops and livestock products","380","Italy","5312","Area harvested","01211","Asparagus","2010","2010","ha","6307","A","Official figure"
"QCL","Crops and livestock products","380","Italy","5312","Area harvested","01211","Asparagus","2011","2011","ha","5226","A","Official figure"
"QCL","Crops and livestock products","380","Italy","5312","Area harvested","01211","Asparagus","2012","2012","ha","6010","A","Official figure"
"QCL","Crops and livestock products","380","Italy","5312","Area harvested","01211","Asparagus","2013","2013","ha","5560","A","Official figure"
"QCL","Crops and livestock products","380","Italy","5312","Area harvested","01211","Asparagus","2014","2014","ha","6313","A","Official figure"
"QCL","Crops and livestock products","380","Italy","5312","Area harvested","01211","Asparagus","2015","2015","ha","6397","A","Official figure"
"QCL","Crops and livestock products","380","Italy","5312","Area harvested","01211","Asparagus","2016","2016","ha","6476","A","Official figure"
"QCL","Crops and livestock products","380","Italy","5312","Area harvested","01211","Asparagus","2017","2017","ha","6687","A","Official figure"
"QCL","Crops and livestock products","380","Italy","5312","Area harvested","01211","Asparagus","2018","2018","ha","6860","A","Official figure"
"QCL","Crops and livestock products","380","Italy","5312","Area harvested","01211","Asparagus","2019","2019","ha","7160","A","Official figure"
"QCL","Crops and livestock products","380","Italy","5312","Area harvested","01211","Asparagus","2020","2020","ha","7400","A","Official figure"
"QCL","Crops and livestock products","380","Italy","5312","Area harvested","01211","Asparagus","2021","2021","ha","7450","A","Official figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","01211","Asparagus","2010","2010","ha","6490","A","Official figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","01211","Asparagus","2011","2011","ha","6290","A","Official figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","01211","Asparagus","2012","2012","ha","6030","A","Official figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","01211","Asparagus","2013","2013","ha","5770","A","Official figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","01211","Asparagus","2014","2014","ha","5580","A","Official figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","01211","Asparagus","2015","2015","ha","5470","A","Official figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","01211","Asparagus","2016","2016","ha","5420","A","Official figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","01211","Asparagus","2017","2017","ha","5330","A","Official figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","01211","Asparagus","2018","2018","ha","5170","A","Official figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","01211","Asparagus","2019","2019","ha","5010","A","Official figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","01211","Asparagus","2020","2020","ha","4800","A","Official figure"
"QCL","Crops and livestock products","392","Japan","5312","Area harvested","01211","Asparagus","2021","2021","ha","4840","I","Imputed value"
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01211","Asparagus","2010","2010","ha","16436","I","Imputed value"
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01211","Asparagus","2011","2011","ha","16686","I","Imputed value"
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01211","Asparagus","2012","2012","ha","16233","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01211","Asparagus","2013","2013","ha","17829","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01211","Asparagus","2014","2014","ha","20438","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01211","Asparagus","2015","2015","ha","22232","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01211","Asparagus","2016","2016","ha","24791","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01211","Asparagus","2017","2017","ha","26139","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01211","Asparagus","2018","2018","ha","30792","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01211","Asparagus","2019","2019","ha","30842","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01211","Asparagus","2020","2020","ha","31940","A","Official figure"
"QCL","Crops and livestock products","484","Mexico","5312","Area harvested","01211","Asparagus","2021","2021","ha","34889","A","Official figure"
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01211","Asparagus","2010","2010","ha","120","E","Estimated value"
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01211","Asparagus","2011","2011","ha","120","E","Estimated value"
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01211","Asparagus","2012","2012","ha","110","E","Estimated value"
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01211","Asparagus","2013","2013","ha","110","E","Estimated value"
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01211","Asparagus","2014","2014","ha","80","E","Estimated value"
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01211","Asparagus","2015","2015","ha","60","E","Estimated value"
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01211","Asparagus","2016","2016","ha","60","E","Estimated value"
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01211","Asparagus","2017","2017","ha","80","E","Estimated value"
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01211","Asparagus","2018","2018","ha","80","E","Estimated value"
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01211","Asparagus","2019","2019","ha","80","E","Estimated value"
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01211","Asparagus","2020","2020","ha","60","E","Estimated value"
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01211","Asparagus","2021","2021","ha","50","E","Estimated value"
"QCL","Crops and livestock products","792","Türkiye","5312","Area harvested","01211","Asparagus","2010","2010","ha","43","A","Official figure"
"QCL","Crops and livestock products","792","Türkiye","5312","Area harvested","01211","Asparagus","2011","2011","ha","43","A","Official figure"
"QCL","Crops and livestock products","792","Türkiye","5312","Area harvested","01211","Asparagus","2012","2012","ha","2","E","Estimated value"
"QCL","Crops and livestock products","792","Türkiye","5312","Area harvested","01211","Asparagus","2013","2013","ha","19","A","Official figure"
"QCL","Crops and livestock products","792","Türkiye","5312","Area harvested","01211","Asparagus","2014","2014","ha","19","A","Official figure"
"QCL","Crops and livestock products","792","Türkiye","5312","Area harvested","01211","Asparagus","2015","2015","ha","18","I","Imputed value"
"QCL","Crops and livestock products","792","Türkiye","5312","Area harvested","01211","Asparagus","2016","2016","ha","39","I","Imputed value"
"QCL","Crops and livestock products","792","Türkiye","5312","Area harvested","01211","Asparagus","2017","2017","ha","43","I","Imputed value"
"QCL","Crops and livestock products","792","Türkiye","5312","Area harvested","01211","Asparagus","2018","2018","ha","39","I","Imputed value"
"QCL","Crops and livestock products","792","Türkiye","5312","Area harvested","01211","Asparagus","2019","2019","ha","50","A","Official figure"
"QCL","Crops and livestock products","792","Türkiye","5312","Area harvested","01211","Asparagus","2020","2020","ha","123","A","Official figure"
"QCL","Crops and livestock products","792","Türkiye","5312","Area harvested","01211","Asparagus","2021","2021","ha","139","A","Official figure"
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5312","Area harvested","01211","Asparagus","2010","2010","ha","1710","A","Official figure"
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5312","Area harvested","01211","Asparagus","2011","2011","ha","1970","A","Official figure"
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5312","Area harvested","01211","Asparagus","2012","2012","ha","1990","A","Official figure"
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5312","Area harvested","01211","Asparagus","2013","2013","ha","2050","A","Official figure"
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5312","Area harvested","01211","Asparagus","2014","2014","ha","2145","A","Official figure"
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5312","Area harvested","01211","Asparagus","2015","2015","ha","2247","A","Official figure"
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5312","Area harvested","01211","Asparagus","2016","2016","ha","2342","A","Official figure"
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5312","Area harvested","01211","Asparagus","2017","2017","ha","2479","A","Official figure"
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5312","Area harvested","01211","Asparagus","2018","2018","ha","2492","A","Official figure"
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5312","Area harvested","01211","Asparagus","2019","2019","ha","2392","A","Official figure"
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5312","Area harvested","01211","Asparagus","2020","2020","ha","2392","A","Official figure"
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5312","Area harvested","01211","Asparagus","2021","2021","ha","2272","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01211","Asparagus","2010","2010","ha","11330","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01211","Asparagus","2011","2011","ha","10846","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01211","Asparagus","2012","2012","ha","10240","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01211","Asparagus","2013","2013","ha","9910","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01211","Asparagus","2014","2014","ha","9630","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01211","Asparagus","2015","2015","ha","8780","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01211","Asparagus","2016","2016","ha","10480","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01211","Asparagus","2017","2017","ha","10640","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01211","Asparagus","2018","2018","ha","8780","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01211","Asparagus","2019","2019","ha","8256","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01211","Asparagus","2020","2020","ha","7284","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01211","Asparagus","2021","2021","ha","6880","A","Official figure"
