Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,392275107258.667,431685217367.511,409401816050.531,430190979705.962,442584815286.034,381971148530.543,395837353031.499,417261151844.977,454991174096.102,444621176100.548,435225238000.437,480368403893.364,..
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,1148610059015.24,1398405797101.45,1546892142709.84,1576380424746.08,1467545212521.8,1350615691821.28,1206535157956.03,1326516328531.56,1428288504767.07,1392227864397.08,1326901059123.21,1552667363236.06,..
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557531376217.967,643628665302.155,524819742918.669,447754609218.678,385540224628.292,487227339102.67,..
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,2208871646202.82,2616201578192.25,2465188674415.03,2472806919901.67,2455993625159.37,1802214373741.32,1795700168991.49,2063507864886.88,1916947014067.55,1873274432754.47,1448559976218.19,1608981456325.08,..
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,1617343367486.26,1793326630174.52,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1742015045482.31,1645423407568.36,1988336331717.42,..
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,6087163874512.21,7551500124203.36,8532229986993.65,9570406235659.64,10475682920594.5,11061553079876.4,11233276536737.2,12310409370892.8,13894817549374.2,14279937500606.5,14687673892882,17734062645371.4,..
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,2645187882116.67,2865157541994.17,2683671716967.19,2811876903329.03,2855964488590.19,2439188643162.5,2472964344587.17,2595151045197.65,2790956878746.66,2728870246705.88,2639008701648.26,2957879759263.52,..
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,3399667820000.01,3749314991050.59,3527143188785.16,3733804649549.03,3889093051023.52,3357585719351.56,3469853463945.53,3690849152517.65,3974443355019.6,3888226035921.56,3889668895299.62,4259934911821.64,..
GDP (current US$),NY.GDP.MKTP.CD,India,IND,1675615335600.56,1823049927772.05,1827637859506.25,1856722121394.42,2039127446299.3,2103587813812.75,2294797980509.01,2651472946375.05,2702929718960.46,2831552222519.99,2667687951796.5,3176295065497.24,..
GDP (current US$),NY.GDP.MKTP.CD,Indonesia,IDN,755094160363.071,892969107923.094,917869910105.749,912524136718.018,890814755233.225,860854235065.079,931877364177.742,1015618742565.81,1042271531011.99,1119099868265.25,1058688935454.78,1186092991320.04,..
GDP (current US$),NY.GDP.MKTP.CD,Italy,ITA,2136099955236.67,2294994296589.5,2086957656821.6,2141924094298.56,2162009615996.54,1836637711060.55,1877071687633.78,1961796197354.36,2091932426266.98,2011302198827.45,1896755301518.14,2107702842669.73,..
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,5759071769013.11,6233147172341.35,6272362996105.03,5212328181166.18,4896994405353.29,4444930651964.18,5003677627544.24,4930837369151.42,5037835383110.97,5123318151510.62,5040107754084.11,4940877780755.33,..
GDP (current US$),NY.GDP.MKTP.CD,Mexico,MEX,1057801295584.05,1180489601957.61,1201089987015.45,1274443084716.57,1315351183524.54,1171867608197.72,1078490651625.31,1158913035796.37,1222408203104.3,1269011767478.56,1090515389749.41,1272839334119.3,..
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Rep.",KOR,1144066965324.49,1253223044718.99,1278427634342.59,1370795199976.18,1484318219633.63,1465773245547.15,1500111596236.37,1623901496835.79,1724845615629.26,1651422932447.77,1644312831906.17,1810955871380.98,..
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,1524917468442.01,2045925608274.37,2208295773643.15,2292473246621.08,2059241965490.83,1363481063446.77,1276786979221.81,1574199387070.9,1657329646183.62,1693113904262.89,1489362488439.76,1778782625793.74,..
GDP (current US$),NY.GDP.MKTP.CD,Saudi Arabia,SAU,528207332649.536,671238840108.229,735974843348.664,746647127407.619,756350347320.381,654269739552.019,644935682011.475,688586094412.68,816578674529.141,803616264791.024,703367841222.555,833541236569.315,..
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,417365076968.257,458201514136.977,434400545085.811,400886013595.573,381198869776.106,346709790458.563,323585509674.481,381448814653.456,404159690890.846,388531954110.604,337619680138.494,419015018371.887,..
GDP (current US$),NY.GDP.MKTP.CD,Turkiye,TUR,776992599946.766,838762755164.179,880556375779.51,957783020853.031,938952628604.067,864316670330.882,869692960365.551,858996263095.858,778471900960.981,759937390496.669,720289368333.191,819035182929.585,..
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,15048964444000,15599728123000,16253972230000,16843190993000,17550680174000,18206020741000,18695110842000,19477336549000,20533057312000,21380976119000,21060473613000,23315080560000,..
GDP (current US$),NY.GDP.MKTP.CD,United Kingdom,GBR,2491397494467.95,2666403005061.42,2706340967030.68,2786315215249.95,3065223279583.79,2934857946213.47,2699659680997.2,2683399006715.79,2878152147315.82,2857057847953.02,2704609160088.15,3131377762925.95,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Austria,AUT,1.83709367680054,2.92279728368581,0.680445576816723,0.0255047121972183,0.661272848852605,1.01450158590511,1.98943716230463,2.25857243250671,2.42538536088061,1.51738858303159,-6.45396846689127,4.55685091308877,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Australia,AUS,2.20656631017093,2.3913851323057,3.902007806318,2.57875428825342,2.57901711177597,2.1527359059391,2.73054799209893,2.28218364248465,2.88304512347683,2.1713962244835,-0.0508853360838941,2.23621243944461,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Argentina,ARG,10.1253981561002,6.00395169280579,-1.0264204544321,2.40532378079436,-2.51261532081394,2.73115982828944,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.00086100285785,-9.94323513446069,10.3982494646904,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,7.52822581815364,3.97442307944702,1.92117598576537,3.00482266944432,0.503955740242247,-3.54576339269425,-3.27591690782192,1.32286905404399,1.783666761634,1.22077782360842,-3.87867633397198,4.61942162067312,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Canada,CAN,3.08949461982786,3.14688137207058,1.76222254945881,2.3291225062102,2.87003607545671,0.659176863558869,1.00139441390405,3.03988022528195,2.77704055379553,1.87959202770178,-5.23302430280606,4.54088730942124,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,10.6358710645426,9.55083217886425,7.86373644864966,7.76615009763002,7.42576365632598,7.04132887877194,6.84876220493844,6.94720079330668,6.74977383254181,5.9505007536746,2.23970185692298,8.1097925807738,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,France,FRA,1.94943762312663,2.19270063266654,0.313134751077172,0.576326674771792,0.956183052371557,1.1129123405747,1.09546440372048,2.29141999417021,1.86506607081999,1.84297181445896,-7.78458649167871,6.81658913649873,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Germany,DEU,4.17988249873657,3.92519270463411,0.418497594217598,0.437591303144671,2.20954343134872,1.49193152760772,2.22999986782015,2.68023111405891,0.981232606004738,1.05660389828289,-3.69678870538043,2.62698726672524,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,India,IND,8.49758470158106,5.24131500140663,5.45638875297365,6.38610640094825,7.41022760508854,7.99625378571471,8.25630550179086,6.79538341897911,6.45385134497769,3.73791851955785,-6.59608052232176,8.68122873083119,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Indonesia,IDN,6.22385418062366,6.16978420771008,6.03005065305615,5.5572636889101,5.006668425755,4.87632230022123,5.03306918280177,5.06978590134916,5.17429153955024,5.01928768046282,-2.06500494092904,3.69124011191289,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Italy,ITA,1.71329583916922,0.707333347034435,-2.98090576823772,-1.84106545088248,-0.00454754236383792,0.778304350716581,1.29346273155907,1.66785904106857,0.925810941012742,0.483198316597154,-9.03995341122885,6.73727712298924,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Japan,JPN,4.09791791930137,0.0238095237748297,1.37475099920874,2.0051001767726,0.296205514142628,1.56062669674904,0.753826745903538,1.67533175166503,0.584068067242868,-0.240350840922716,-4.50690454226634,1.65707111732294,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Mexico,MEX,5.11811814321163,3.66300792950094,3.64232267941347,1.35409196151679,2.84977325490688,3.29315152833387,2.63053242455089,2.11312913549695,2.19499472522698,-0.199047772272948,-7.98791234014749,4.72056529768081,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Korea, Rep.",KOR,6.80482491783671,3.68566778212526,2.40253099246186,3.16470863647184,3.2024537945736,2.80910326824133,2.94688171508626,3.15963574012777,2.90740377377135,2.24397786011012,-0.709415359397681,4.14532395430925,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Russian Federation,RUS,4.50000000003065,4.3000291857941,4.02408615720979,1.75542214909368,0.736267221415574,-1.97271922637542,0.193690071729534,1.82579006355112,2.80724541049418,2.19807571380863,-2.66375751111333,4.74958409996398,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Saudi Arabia,SAU,5.03948402628657,9.99686516559248,5.41142278010331,2.69928107085529,3.65248566592824,4.10639386440421,1.67066425675586,-0.741528418233386,2.51416579969228,0.33378075529167,-4.13767037552624,3.24092976848051,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,South Africa,ZAF,3.03973288127956,3.16855627858818,2.39623238465745,2.48546800826588,1.41382645223793,1.32186223678229,0.664552307858116,1.15794695181735,1.5223293874314,0.303453234515089,-6.34247114828278,4.9130966818804,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Turkiye,TUR,8.42710432276191,11.2001105833504,4.78849271108008,8.48581699653026,4.9397151613658,6.08448690443663,3.32308420845746,7.50199748917491,2.97988525813022,0.783610198384551,1.9400322454902,11.3534964080772,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United States,USA,2.70885669419681,1.54989495017045,2.28068760319185,1.84187539518688,2.28777593255359,2.70636958176399,1.66747207596187,2.24192121597748,2.9453848312678,2.29443907769311,-2.76780251140578,5.94548476122172,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United Kingdom,GBR,2.43007289502704,1.06761091403658,1.44845675688505,1.81986337468368,3.19970262614801,2.393103183986,2.16520621052183,2.44357046987986,1.70502102232903,1.60430864787399,-11.0308584551979,7.52491037367686,..
GDP (constant LCU),NY.GDP.MKTP.KN,Austria,AUT,326651460000,336198820000,338486470000,338572800000,340811690000,344269230000,351118250000,359048510000,367756820000,373337120000,349242060000,365156500000,..
GDP (constant LCU),NY.GDP.MKTP.KN,Australia,AUS,1611911000000,1650458000000,1714859000000,1759081000000,1804448000000,1843293000000,1893625000000,1936841000000,1992681000000,2035950000000,2034914000000,2080419000000,..
GDP (constant LCU),NY.GDP.MKTP.KN,Argentina,ARG,670523679400,710781597200,703485989500,720407105300,702306046000,721487146600,706477848600,726389947800,707377443000,693223803600,624294930800,689210675100,..
GDP (constant LCU),NY.GDP.MKTP.KN,Brazil,BRA,3885847000000,4040287000000,4117908023600,4241643857400,4263019865100,4111863267300,3977162043300,4029774689200,4101652440900,4151724504300,3990692548500,4175039462900,..
GDP (constant LCU),NY.GDP.MKTP.KN,Canada,CAN,1789638545000,1845956347000,1878486206000,1922238451000,1977407388000,1990442000000,2010374175000,2071487142000,2129013180000,2169029942000,2055524078000,2148863110000,..
GDP (constant LCU),NY.GDP.MKTP.KN,China,CHN,47043149830891.4,51536162122891.5,55588830087984.5,59905942070133.9,64354415744357.6,68885821804930,73603647933267.3,78717041146389.9,84030263391440.1,89030484847862.5,91024502270227.6,98406400602024.8,..
GDP (constant LCU),NY.GDP.MKTP.KN,France,FRA,2088815332000,2134616799000,2141301026000,2153641915000,2174234674000,2198432000000,2222515040000,2273442194000,2315843393000,2358523734000,2174922414000,2323177939000,..
GDP (constant LCU),NY.GDP.MKTP.KN,Germany,DEU,2783177750000,2892422840000,2904527560000,2917237520000,2981695150000,3026180000000,3093663810000,3176581150000,3207750800000,3241644020000,3121807290000,3203816770000,..
GDP (constant LCU),NY.GDP.MKTP.KN,India,IND,83012348441800,87363287113700,92130167686000,98013698221800,105276736344200,113694931359600,123081932232700,131445821447400,139929139362800,145159576577300,135584734020400,147355154904800,..
GDP (constant LCU),NY.GDP.MKTP.KN,Indonesia,IDN,6.8641331E+15,7.2876353E+15,7.7270834E+15,8.1564978E+15,8.5648666E+15,8.9825171E+15,9.4346134E+15,9.9129281E+15,1.04258519E+16,1.09491554E+16,1.07230548E+16,1.11188685E+16,..
GDP (constant LCU),NY.GDP.MKTP.KN,Italy,ITA,1712756800000,1724871700000,1673454900000,1642645500000,1642570800000,1655355000000,1676766400000,1704732500000,1720515100000,1728828600000,1572543300000,1678489900000,..
GDP (constant LCU),NY.GDP.MKTP.KN,Japan,JPN,510673586544000,510795175493000,517817337272000,528200093617000,529764651420000,538032300000000,542088131379000,551169905966000,554389113383000,553056634487000,528130899906000,536882404510000,..
GDP (constant LCU),NY.GDP.MKTP.KN,Mexico,MEX,14947794696000,15495333601000,16059723651000,16277187078000,16741050002000,17292358146000,17747239234000,18122261317000,18520043997000,18483180262000,17006760025000,17809575237000,..
GDP (constant LCU),NY.GDP.MKTP.KN,"Korea, Rep.",KOR,1.426618E+15,1.4791984E+15,1.5147366E+15,1.5626736E+15,1.6127175E+15,1.6580204E+15,1.7068803E+15,1.7608115E+15,1.8120054E+15,1.8526664E+15,1.8395233E+15,1.9157775E+15,..
GDP (constant LCU),NY.GDP.MKTP.KN,Russian Federation,RUS,78380198656200,81750570074300,85040283448100,86533099419400,87170214266100,85450590689600,85616100000000,87179270246600,89626606309500,91596666975900,89156753879400,93391328885700,..
GDP (constant LCU),NY.GDP.MKTP.KN,Saudi Arabia,SAU,1980777202390.97,2178792828544.79,2296696519999.92,2358690814419.27,2444841658319.5,2545236486171.13,2587758842395.5,2568569875183.79,2633147980526.86,2641936921744.21,2532622280393.11,2614702789801.54,..
GDP (constant LCU),NY.GDP.MKTP.KN,South Africa,ZAF,3973801603300,4099713743500,4197952411900,4302291176100,4363118106800,4420792517400,4450170996100,4501701615500,4570232342127.23,4584100859994.27,4293355585540.95,4504292296355.49,..
GDP (constant LCU),NY.GDP.MKTP.KN,Turkiye,TUR,1091180540500,1213393967700,1271497249400,1379394179100,1447532322500,1535607237100,1586636758700,1705666208500,1756493104400,1770257163500,1804600723300,2009486001600,..
GDP (constant LCU),NY.GDP.MKTP.KN,United States,USA,16383037055000,16636956919000,17016393933000,17329814706000,17726282036000,18206020741000,18509601053000,18924571726000,19481973191000,19928975197000,19377380521000,20529459727000,..
GDP (constant LCU),NY.GDP.MKTP.KN,United Kingdom,GBR,1741356964000,1759947881000,1785439965000,1817932533000,1876100968000,1920998000000,1962591568000,2010548876000,2044829157000,2077634528000,1848453604000,1987548081000,..
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,
Last Updated: 05/10/2023,,,,,,,,,,,,,,,,
